ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend,,
2000018,北野天満宮しらがしの森,京都府京都市上京区馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
2000019,北野天満宮の大けやき,京都府京都市上京区馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
2000020,北野天満宮の大椎,京都府京都市上京区馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
2000021,北野天満宮の双幹鹿子の木,京都府京都市上京区馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
2000022,北野天満宮東門の椋,京都府京都市上京区馬喰町,35.0299253,135.735813,500,1800,5:00:00,18:00:00,300,1080,,33,,
2000023,貴船神社奥宮相生大杉,鞍馬貴船町180,35.1225341,135.763198,,,0:00:00,0:00:00,,,,,,
2000024,貴船神社奥宮の桂,鞍馬貴船町180,35.1225341,135.763198,,,0:00:00,0:00:00,,,,,,
2000025,貴船神社奥宮の杉並木,鞍馬貴船町180,35.1225341,135.763198,,,0:00:00,0:00:00,,,,,,
2000032,御香宮のおそらく椿,京都市伏見区御香宮門前町174,34.9347401,135.767274,,,0:00:00,0:00:00,,,,,,
2000033,御香宮の蘇鉄,京都市伏見区御香宮門前町174,34.9347401,135.767274,,,0:00:00,0:00:00,,,,,,
2000034,越畑の相生桜,京都府京都市右京区嵯峨越畑加鍋浦82,35.0890168,135.6066154,,,0:00:00,0:00:00,,,,,,
2000035,古知谷のかえで,大原古知平町,35.1349968,135.8398398,,,0:00:00,0:00:00,,,,,,
2000036,金地院裏のくろがねもち,南禅寺福地町,35.010271,135.7917992,,,0:00:00,0:00:00,,,,,,
2000037,金地院の椎,南禅寺福地町,35.010271,135.7917992,,,0:00:00,0:00:00,,,,,,
2000038,嵯峨・兒神社のつぶらしい,嵯峨釣殿町,35.0271064,135.6872857,,,0:00:00,0:00:00,,,,,,
2000039,嵯峨・曇華院の日光,嵯峨北堀町25,35.0156426,135.6841748,,,0:00:00,0:00:00,,,,,,
2000040,雑華院の老桧,花園妙心寺町55,35.0235143,135.7211564,,,0:00:00,0:00:00,,,,,,
2000041,三宝院の枝垂桜,醍醐伽藍町,34.9509617,135.8226345,900,1700,9:00:00,17:00:00,540,1020,30,30,,
2000042,慈照寺（銀閣寺）の椿垣,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40,,
2000055,善峯寺の遊龍の松,京都市西京区大原野小塩町1372,34.9380666,135.644566,,,0:00:00,0:00:00,,,,,,
2000056,千本釈迦堂のくろがねもち,溝前町,35.031753,135.7401059,,,0:00:00,0:00:00,,,,,,
2000043,慈照寺の千代の槙,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40,,
2000044,地蔵院（椿寺）五色八重散椿,大将軍西町41番地,35.0254438,135.7306142,900,1600,9:00:00,16:00:00,540,960,10,10,,
2000045,十輪寺の大樟,大原野小塩町,34.9349741,135.6456036,900,1700,9:00:00,17:00:00,540,1020,30,30,,
2000046,青蓮院の大楠,粟田口三条坊町９,35.0077312,135.7832045,,,0:00:00,0:00:00,,,,,,
2000047,白峯神宮の小賀玉の木,今出川通堀川東入飛鳥井町,35.0299448,135.7531351,,,0:00:00,0:00:00,,,,,,
2000049,真如堂の大しゃしゃんぽ,京都市左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
