ID,0,1,2,3,4
147,2000074.0,本願寺の大銀杏,堀川花屋町下る,34.9930855,135.7526635
148,2000075.0,平岡八幡宮の椎,梅ケ畑宮ノ口町,35.0403548,135.6874336
149,2000076.0,平野神社の草花と樹木,平野宮本町,35.0320427,135.7325566
150,2000077.0,宝鏡寺の熊谷と月光と村娘,京都市上京区寺之内通堀川東入百々町547,35.0343534,135.7527001
151,2000078.0,宝泉院の五葉松,大原勝林院町187,35.1213643,135.83418
152,2000079.0,法然院、北門の楓,京都市左京区鹿ケ谷,35.0206596,135.7944669
153,2000080.0,法然院の楓,京都市左京区鹿ケ谷,35.0206596,135.7944669
154,2000081.0,法然院の散椿,京都市左京区鹿ケ谷,35.0206596,135.7944669
155,2000082.0,法然院の椋,京都市左京区鹿ケ谷,35.0206596,135.7944669
156,2000084.0,妙蓮寺の妙蓮寺椿,寺之内大宮東妙蓮寺前町875,35.0342135,135.7500255
157,2000085.0,由岐神社の大杉,鞍馬本町,35.1389007,135.7852789
158,2000086.0,霊鑑寺の紅梅,鹿ケ谷御所の段町,0.0,0.0
159,2000087.0,霊鑑寺の日光椿,鹿ケ谷御所の段町,0.0,0.0
160,2000088.0,北野天満宮　影向松,上京区御前通今小路上る馬喰町,35.0299253,135.735813
161,7000011.0,名勝　大沢池,右京区嵯峨大沢町４番地,35.0282995,135.6779455
162,7000012.0,大原御香水,左京区大原上野町,35.1112348,135.8291599
163,7000016.0,音羽の滝,東山区清水1丁目,34.9949494,135.7832045
164,7000023.0,亀の井,西京区嵐山宮町,34.9995437,135.6822583
165,7000028.0,京見峠,京都府北区鷹峯堂庭町,35.0549594,135.7310765
166,7000030.0,空也の滝,右京区嵯峨愛宕町,35.0550218,135.6266962
167,7000033.0,小町化粧水,山科区小野随心院内,34.9612032,135.8126907
168,7000036.0,祐の井,上京区京都御苑内,35.0247566,135.763946
169,7000040.0,染井の水,上京区寺町通広小路上ル,35.0012771,135.7692979
170,7000041.0,醍醐水,伏見区醍醐東大路町,34.9515627,135.8190756
171,7000053.0,広沢池,右京区嵯峨広沢町,35.02606770000001,135.6922035
172,7000054.0,伏見の御香水,伏見区御香宮門前町,34.9337136,135.7672046
173,7000055.0,船岡山,北区紫野北舟岡町,35.0386038,135.7420305
174,7000056.0,遍照寺山,右京区北嵯峨朝原山町,35.0361999,135.6798926
175,7000060.0,深泥池,北区上賀茂深泥池町,35.0576405,135.7660196
176,7000063.0,吉田山,左京区吉田神楽岡町,35.0250578,135.7864644
177,7000064.0,知恩院　紫雲水,東山区林下町400,35.0061608,135.783806
178,8000001.0,嵐山通船,南乗船場・京都市西京区嵐山山中町/北乗船場・京都市右京区嵯峨天竜寺芒ノ馬場町,35.009449,135.666773
179,8000008.0,京の夏の旅,京都市左京区岡崎最勝寺町13　京都会館内,35.0143836,135.780667
180,10000000.0,清水寺　狛犬,東山区清水1丁目294,34.9949622,135.7843343
181,8000018.0,姉妹都市,京都市中京区寺町通御池上る上本能寺前町488,35.01163349999999,135.7681124
182,8000022.0,知恩院七不思議,東山区林下町400,35.0061608,135.783806
183,8000026.0,嵯峨野トロッコ列車,京都市右京区嵯峨天龍寺車道町,35.0181575,135.680484
184,8000031.0,叡山ケーブル,上高野東山12,35.0669079,135.8085922
185,8000039.0,保津川下り,亀岡市保津町下中島１,35.0178434,135.5866272
186,10000000.0,北野天満宮　神使,上京区御前通今小路上る馬喰町,35.0299253,135.735813
187,8000052.0,ポルタ,下京区烏丸通塩小路下ル,34.994785,135.761507
188,8000053.0,京都サンガF.C.,京都府城陽市久世上大谷89-1,34.8629802,135.8012664
189,8000054.0,京都市交響楽団,京都市北区出雲路立本町103,35.0381996,135.7651587
190,8000057.0,大原温泉,左京区大原草生町18,35.1236518,135.8221838
191,8000058.0,嵐山温泉,西京区嵐山上河原町1番2,35.0117081,135.6800004
192,10000000.0,愛宕社＜大豊神社＞　狛鳶,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197
193,10000000.0,稲荷社＜大豊神社＞　狛きつね,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197
194,10000000.0,新日吉神宮　狛猿,東山区妙法院前側町451-1,34.98944,135.7753705
195,10000000.0,菅大臣神社　狛犬,下京区仏光寺通新町西入,35.00130780000001,135.7566836
196,10000000.0,北野天満宮　狛犬　その一,上京区御前通今小路上る馬喰町,35.0299253,135.735813
